procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    512  62036  50896 271168    0    0     0     0  420  403  0  0 100  0  0
 1  0    512  62036  50896 271172    0    0     0     0  460  449 22  3 75  0  0
 0  0    512  62036  50896 271172    0    0     0    36  440  416  1  1 98  0  0
 0  0    512  63076  50896 271172    0    0     0     0  425  456  2  5 93  0  0
 0  0    512  63076  50896 271172    0    0     0     0  442  410  1  0 99  0  0
 0  0    512  63076  50896 271172    0    0     0     0  414  393  0  1 99  0  0
 0  0    512  63076  50896 271172    0    0     0     0  427  413  1  1 98  0  0
 0  0    512  63076  50896 271172    0    0     0    20  428  419  0  1 98  1  0
 0  0    512  63076  50896 271172    0    0     0     0  430  406  1  0 99  0  0
 0  0    512  63076  50896 271172    0    0     0     0  447  412  0  1 99  0  0
 2  0    512  63076  50896 271172    0    0     0     0  439  414  1  1 98  0  0
 0  0    512  63076  50896 271172    0    0     0     0  405  383  1  0 99  0  0
 0  0    512  63076  50896 271172    0    0     0    12  428  423  1  2 97  0  0
